"term_en","ipa","term_uz","term_ru","definition_uz","definition_ru","etymology","category","yield","is_phrase","audio_url"
"30S ribosomal subunit","/ˈθɜːrti ɛs ˌraɪbəˈsoʊməl ˈsʌbˌjuːnɪt/","30S ribosomal kichik birligi","30S субъединица рибосомы","Aminoglikozidlar kabi antibiotiklar bog'lanib, oqsil sintezini to'xtatadigan bakterial ribosomaning bir qismi.","Часть бактериальной рибосомы, с которой связываются антибиотики (например, аминогликозиды) для подавления синтеза белка.","S (Svedberg unit) + Greek ribes (currant-like) + soma (body) + Latin sub- (under) + unus (one).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/95/95728803b8464fa6dd04629483c1fb62b9028188.mp3"
"46,XX karyotype","/ˌfɔːrti ˈsɪks ɛks ɛks ˈkærioʊtaɪp/","46,XX kariotip","кариотип 46,XX","Normal ayol kishining xromosomalar to'plami.","Нормальный женский набор хромосом.","Greek karyon (nut/nucleus) + typos (impression/type).","lab","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/dd/dda0f245c09a02e088a249e1d94ffbefde7f3028.mp3"
"5-alpha reductase inhibitor","/faɪv ˈælfə rɪˈdʌkteɪz ɪnˈhɪbɪtər/","5-alfa-reduktaza ingibitori","ингибитор 5-альфа-редуктазы","Testosteronni faolroq digidrotestosteronga aylanishini bloklaydigan dori vositalari guruhi.","Группа препаратов, блокирующих превращение тестостерона в более активный дигидротестостерон.","Named after the specific enzyme (reductase) it blocks.","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e3/e3bc181207fb0c4f6d34e7f8774a570a27997309.mp3"
"5-alpha reductase inhibitors","/faɪv ˈælfə rɪˈdʌkteɪz ɪnˈhɪbɪtərz/","5-alfa-reduktaza ingibitorlari","ингибиторы 5-альфа-редуктазы","Testosteronni digidrotestosteronga (DHT) aylanishini bloklovchi dorilar guruhi.","Группа препаратов, блокирующих превращение тестостерона в дигидротестостерон (ДГТ).","Named after the enzyme 5-alpha reductase + Latin inhibere (to restrain).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/17/1786bbef99398199ef185795544177676d424301.mp3"
"5-HT3 receptor antagonists","/faɪv eɪtʃ tiː θriː rɪˈsɛptər ænˈtæɡənɪsts/","5-HT3 retseptorlari antagonistlari","антагонисты 5-HT3 рецепторов","Gastrointestinal traktda serotonin ta'sirini bloklab, ko'ngil aynishi va qusishni to'xtatuvchi dori vositalari guruhi.","Группа препаратов, блокирующих действие серотонина в ЖКТ, используемая для купирования тошноты и рвоты.","5-HT (5-hydroxytryptamine/serotonin) + Greek anti- (against) + agonistes (contestant).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d1/d189c53632f278cf9ea0d39580857785c991d077.mp3"
"5-hydroxyindoleacetic acid","/faɪv haɪˌdrɒksiˌɪndoʊləˈsiːtɪk ˈæsɪd/","5-gidroksiindolsirka kislotasi (5-GISHK)","5-гидроксииндолуксусная кислота (5-ГИУК)","Serotoninning asosiy metaboliti bo'lib, uning siydikdagi miqdori karsinoid sindromni tashxislash uchun o'lchanadi.","Основной метаболит серотонина, уровень которого в моче измеряется для диагностики карциноидного синдрома.","Chemical nomenclature: 5-hydroxy + indole + acetic acid.","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0e/0e94d8995f7723bd0f7e0e736217f0086653a9e8.mp3"
"60S ribosomal subunit","/ˈsɪksti ɛs ˌraɪbəˈsoʊməl ˈsʌbˌjuːnɪt/","60S ribosoma qismi","60S субъединица рибосомы","Eukariotik ribosomaning oqsil sintezida ishtirok etuvchi yirik qismi.","Крупная субъединица эукариотической рибосомы, участвующая в синтезе белка.","S refers to Svedberg units (sedimentation rate) + Greek soma (body).","anatomy","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/8a/8ac9664bff030820ec4530437af575eef24a7df3.mp3"
"60S ribosomal subunits","/ˈsɪksti ɛs ˌraɪbəˈsoʊməl ˈsʌbˌjuːnɪts/","60S ribosomal kichik birliklari","60S субъединицы рибосом","Eukariotik hujayralardagi ribosomaning oqsillar sintezida ishtirok etuvchi yirik qismi.","Крупная часть рибосомы эукариотических клеток, участвующая в процессе трансляции белков.","S (Svedberg unit) + Latin ribes (currant) + Greek soma (body).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d2/d2c774cc798d6b09e312916da19df167d75703dc.mp3"
"68-95-99.7 rule","/ˌsɪkstiˈeɪt ˈnaɪntiˈfaɪv ˈnaɪntiˈnaɪn pɔɪnt ˈsɛvən ruːl/","68-95-99.7 qoidasi","правило 68-95-99.7","Normal taqsimotda ma'lumotlarning 1, 2 va 3 ta standart og'ishlar ichida joylashish foizlarini ko'rsatuvchi qoida.","Эмпирическое правило, согласно которому в нормальном распределении 68%, 95% и 99,7% значений лежат в пределах 1, 2 и 3 стандартных отклонений.","Descriptive term based on the specific percentages of the Gaussian distribution.","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/6d/6dc661760d4cf6ae6ecbbb13ebbc4d711dcd7e5d.mp3"
"95% confidence interval","/ˈnaɪnti faɪv pərˈsɛnt ˈkɒnfɪdəns ˈɪntərvəl/","95 foizli ishonch oralig'i","95% доверительный интервал","Populyatsiyaning haqiqiy o'rtacha qiymati 95% ehtimollik bilan tushadigan qiymatlar diapazoni.","Диапазон значений, в котором с 95% вероятностью находится истинное среднее значение популяции.","Latin confidentia (trust) + intervallum (space between ramparts).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/66/669ddae722f56b2eae5f4c5dbb7cc361a746d0d0.mp3"
"A2-to-opening snap time interval","/ˌeɪ ˈtuː tuː ˈoʊpənɪŋ snæp ˈtaɪm ˈɪntərvəl/","A2 va ochilish qarsillashi orasidagi vaqt oralig'i","интервал между A2 и щелчком открытия","Aortal klapan yopilishi va mitral klapan ochilishi orasidagi vaqt; bu vaqt qanchalik qisqa bo'lsa, stenoz shunchalik og'ir bo'ladi.","Время между закрытием аортального клапана и открытием митрального; укорочение этого интервала указывает на тяжесть стеноза.","A2 (Aortic second sound) + opening snap + Latin intervallum (space between).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f3/f3e66b724a55b26c6d40e1ccc9fd082e81b850df.mp3"
"ABCDE criteria","/ˌeɪ biː siː diː iː kraɪˈtɪəriə/","ABCDE mezonlari","критерии ABCDE","Melanomani aniqlash uchun ishlatiladigan klinik belgilar: asimmetriya, chegaralar, rang, diametr va evolyutsiya.","Клинические признаки для оценки меланомы: асимметрия, границы, цвет, диаметр и динамика развития.","Acronym for Asymmetry, Border, Color, Diameter, and Evolution.","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5c/5ccd87beadf6d8f9cabc379e739de5a91468af87.mp3"
"abdominal aorta","/æbˈdɒmɪnəl eɪˈɔːrtə/","qorin aortasi","брюшная аорта","Aortaning diafragmadan pastda joylashgan va qorin bo'shlig'i a'zolarini qon bilan ta'minlaydigan qismi.","Часть аорты, расположенная ниже диафрагмы, кровоснабжающая органы брюшной полости и таза.","Latin abdomen + Greek aorte (what is hung up).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ba/bab70cfe8e64afc823c686e474a180653db3ca9c.mp3"
"abdominal aortic aneurysm","/æbˈdɒmɪnəl eɪˈɔːrtɪk ˈænjərɪzəm/","qorin aortasi anevrizmasi","аневризма брюшной аорты","Qorin aortasining barcha qatlamlarini qamrab oluvchi va uning diametri 50% dan ko'proq kengayishi bilan tavsiflanadigan holat.","Локальное расширение брюшной аорты, затрагивающее все слои сосудистой стенки, обычно возникающее ниже почечных артерий.","Latin abdomen + Greek aorte (to lift) + aneurysma (a widening).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/48/48878efc91ff64f5c47af2389534174cebfff426.mp3"
"abdominal bloating","/æbˈdɒmɪnəl ˈbloʊtɪŋ/","qorin dam bo'lishi","вздутие живота","Qorin bo'shlig'ida gaz to'planishi natijasida yuzaga keladigan to'liqlik va taranglik hissi.","Ощущение распирания и полноты в животе, вызванное скоплением газов.","Latin abdomen (belly) + Old English blawan (to blow).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d4/d4012781da7e77cb046140bfd812d59286f04c53.mp3"
"abdominal bloating and cramping","/æbˈdɒmɪnəl ˈbloʊtɪŋ ænd ˈkræmpɪŋ/","qorin dam bo'lishi va sanchig'i","вздутие и спазмы в животе","Ichakda gaz to'planishi natijasida qorin kengayishi va mushaklarning og'riqli qisqarishi.","Ощущение распирания живота газами, сопровождающееся болезненными сокращениями мышц кишечника.","Latin abdomen + Old English blawan (to blow) + crammian (to stuff).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/84/84447701f4da5462381f0d30bcab878463bb3bb2.mp3"
"abdominal bruit","/æbˈdɒmɪnəl bruːi/","qorin aortasi (yoki arteriyalari) ustidagi shovqin","брюшной сосудистый шум","Arteriya torayishi natijasida qorin sohasida auskultatsiya qilinganda eshitiladigan shovqin.","Шум, выслушиваемый над брюшной аортой или ее ветвями при их сужении.","Latin abdomen + French bruit (noise).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/53/532672c3957695523434b71f64313fb97a74b2c2.mp3"
"abdominal bruits","/æbˈdɒmɪnəl ˈbruːiz/","qorin shovqinlari","брюшные шумы","Qorin arteriyalarida qon oqimining turbulentligi natijasida eshitiladigan shovqinlar.","Сосудистые шумы, выслушиваемые над брюшной аортой или почечными артериями при их сужении.","Latin abdomen + French bruit (noise).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/35/35c4515b1b47560e66f1991e5a4022e50e44f3db.mp3"
"abdominal cramping","/æbˈdɒmɪnəl ˈkræmpɪŋ/","qorin sohasidagi sanchiqlar","спазмы в животе","Qorin bo'shlig'idagi ichki a'zolarning mushaklari qisqarishi natijasida yuzaga keladigan to'satdan og'riq.","Внезапная боль, вызванная сокращением мышц внутренних органов брюшной полости.","Latin abdomen (belly) + Old French crampe (spasm).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/70/702a9f779726bd47ac877e2893ed8ea728682664.mp3"
"abdominal cramps","/æbˈdɒmɪnəl kræmps/","qorin sohasidagi sanchiqlar","спазмы в животе","Qorin mushaklari yoki a'zolarining to'satdan va og'riqli qisqarishi.","Внезапные и болезненные сокращения мышц или органов брюшной полости.","Latin abdomen + Old French crampe.","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/af/afa9ca3fd498f9fb20ec98ac1c329a92f7297266.mp3"
"abdominal CT scan","/æbˈdɒmɪnəl siː tiː skæn/","qorin bo'shlig'i KT skaneri","КТ брюшной полости","Qorin bo'shlig'i a'zolarining batafsil kesma tasvirlarini olish uchun rentgen nurlaridan foydalanadigan diagnostik usul.","Метод диагностики, использующий рентгеновское излучение для получения детальных изображений органов брюшной полости.","Latin abdomen + Greek tomos (slice) + graphein (to write).","imaging","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c3/c3133d57a9f8ad3e7133b67b489bda54c92987d9.mp3"
"abdominal discomfort","/æbˈdɒmɪnəl dɪsˈkʌmfərt/","qorin sohasidagi noqulaylik","дискомфорт в животе","Qorin sohasida seziladigan noaniq og'riq yoki noqulaylik hissi.","Неопределенное ощущение боли или тяжести в области живота.","Latin abdomen + English dis- (not) + comfort.","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/3f/3f5037946553e694b8662bbd4935bb5e8829bdc5.mp3"
"abdominal distension","/æbˈdɒmɪnəl dɪˈstɛnʃən/","qorin dam bo'lishi","вздутие живота","Qorin bo'shlig'ining gaz yoki suyuqlik to'planishi natijasida shishishi yoki kengayishi.","Увеличение объема живота из-за скопления газов или жидкости.","Latin abdomen + distendere (to stretch out).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ca/ca45841c0a13c10393edd465b1b1d900ed55c5ce.mp3"
"abdominal distention","/æbˈdɒmɪnəl dɪˈstɛnʃən/","qorin dam bo'lishi","вздутие живота","Qorin bo'shlig'ida gaz, suyuqlik yoki massa to'planishi natijasida qorinning kengayishi.","Увеличение объема живота из-за скопления газов, жидкости или наличия объемного образования.","Latin abdomen + distendere (to stretch out).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c7/c7ed9d42ea0a9eb20f853294e2ee8ddc75900bfb.mp3"
"abdominal examination","/æbˈdɒmɪnəl ɪɡˌzæmɪˈneɪʃən/","qorin bo'shlig'i ko'rigi","обследование брюшной полости","Qorin a'zolarini palpatsiya, perkussiya va auskultatsiya orqali tekshirish.","Физикальное обследование органов брюшной полости с помощью пальпации, перкуссии и аускультации.","Latin abdomen (belly) + examinare (to weigh/test).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/73/73329630da1c5a342bd97752fd862f319dc61e55.mp3"
"abdominal fullness","/æbˈdɒmɪnəl ˈfʊlnəs/","qorin sohasida to'liqlik hissi","чувство распирания в животе","Qorin bo'shlig'ida bosim yoki shish borligi haqidagi subyektiv hissiyot.","Субъективное ощущение тяжести или давления в брюшной полости.","Latin abdomen (belly) + English full.","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/96/9622f6c4c35ebdd3f451627c45f3179ce5ab8ae5.mp3"
"abdominal girth","/æbˈdɒmɪnəl ɡɜːrθ/","qorin aylanasi","окружность живота","Qorinning eng keng qismidagi o'lchami, assit yoki semirishda ortadi.","Размер живота в самом широком месте, увеличивающийся при асците или ожирении.","Latin abdomen (belly) + Old Norse gjorth (belt).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f6/f619d8fd0c0fe05ddb470363f381053f3e2dceb2.mp3"
"abdominal insufflation","/æbˈdɒmɪnəl ˌɪnsəˈfleɪʃən/","qorin bo'shlig'ini damlash (insuflyatsiya)","инсуффляция брюшной полости","Laparoskopik jarrohlik paytida ko'rinishni yaxshilash uchun qorin bo'shlig'iga gaz yuborish.","Нагнетание газа в брюшную полость для создания оперативного пространства при лапароскопии.","Latin abdomen + in- (into) + sufflare (to blow).","idiom","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/8b/8ba24d0007a4968bf8140540c781bf0a98c36ad6.mp3"
"abdominal pain radiating to the back","/æbˈdɒmɪnəl peɪn ˈreɪdieɪtɪŋ tuː ðə bæk/","belga uzatiluvchi qorin og'rig'i","боль в животе с иррадиацией в спину","Qorin sohasida boshlanib, orqa (bel) sohasiga tarqaladigan og'riq turi, pankreatitga xos.","Тип боли, начинающийся в животе и распространяющийся в спину, характерный для панкреатита.","Latin abdomen + radiare (to beam/emit rays).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/57/5783e97d7ddddfd61b69eb8b83ed892775fd1b1f.mp3"
"abdominal swelling","/æbˈdɒmɪnəl ˈswɛlɪŋ/","qorin shishishi","вздутие живота","Qorin bo'shlig'ida suyuqlik yoki gaz to'planishi natijasida qorin hajmining kattalashishi.","Увеличение объема живота, часто вызванное скоплением жидкости (асцитом) или газов.","Latin abdomen + Old English swellan (to grow larger).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/49/49d75d6e9189fc2a4b4da3bb57c2583de38e8da3.mp3"
"abdominal tenderness","/æbˈdɒm.ɪ.nəl ˈtɛn.dər.nəs/","qorin sohasidagi og'riq (paypaslaganda)","болезненность при пальпации живота","Qorinni bosib ko'rganda bemor tomonidan seziladigan og'riq yoki noqulaylik.","Боль или дискомфорт, возникающие при физическом обследовании (пальпации) живота.","Latin abdomen (belly) + English tender (soft/sensitive).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/65/65969a17997c4b15ec6126fb146d83d6158e1836.mp3"
"abdominal ultrasonography","/æbˈdɒmɪnəl ˌʌltrəsəˈnɒɡrəfi/","qorin bo'shlig'i ultratovush tekshiruvi","УЗИ органов брюшной полости","Qorin a'zolarini ultratovush to'lqinlari yordamida vizuallashtirish usuli.","Метод визуализации органов брюшной полости с помощью ультразвуковых волн.","Latin abdomen + ultra (beyond) + sonus (sound) + Greek graphein (to write).","imaging","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/37/37c0ca4635f2934199cf8f8110a6e304db5e5e0a.mp3"
"abdominal ultrasound","/æbˈdɒmɪnəl ˈʌltrəsaʊnd/","qorin bo'shlig'i ultratovush tekshiruvi","УЗИ брюшной полости","Qorin a'zolarini, shu jumladan aortani tekshirish uchun ishlatiladigan invaziv bo'lmagan tasvirlash usuli.","Неинвазивный метод визуализации, используемый для осмотра органов брюшной полости, включая аорту.","Latin abdomen + ultra (beyond) + sonus (sound).","imaging","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/82/8278bf74a0921120752391865417346a8400c00f.mp3"
"abdominopelvic radiation","/æbˌdɒmɪnoʊˈpɛlvɪk ˌreɪdiˈeɪʃən/","qorin-chanoq sohasini nurlantirish","облучение органов брюшной полости и таза","Saratonni davolash uchun qorin va chanoq sohasiga ionlashtiruvchi nurlanishni qo'llash.","Применение ионизирующего излучения в области живота и таза для лечения злокачественных новообразований.","Latin abdomen + pelvis + radiatio (shining/emitting rays).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a3/a33600a07340f578441eeec1c18fb74ec4ba6714.mp3"
"abducens nerve","/æbˈdjuːsənz nɜːrv/","uzoqqa olib boruvchi nerv","отводящий нерв","Lateral to'g'ri mushakni innervatsiya qiluvchi va ko'zning tashqariga harakatlanishini ta'minlovchi VI bosh miya nervi.","VI пара черепных нервов, иннервирующая латеральную прямую мышцу и обеспечивающая отведение глазного яблока.","Latin ab- (away) + ducens (leading).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/2b/2b9ecb5a976b54e6aaf906b90bfa66f7f3128c87.mp3"
"abducens nerve (CN VI) palsy","/æbˈdjuːsənz nɜːrv ˈpɔːlzi/","uzatuvchi nerv (VI juft) falaji","паралич отводящего нерва (VI пара)","Ko'zni tashqariga harakatlantiruvchi oltinchi kalla-miya nervining shikastlanishi natijasida yuzaga keladigan diplopiya.","Поражение шестого черепного нерва, приводящее к невозможности отведения глаза и двоению в глазах.","Latin abducens (leading away) + Greek paralysis (loosening).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/43/43e1fb7211d5d6e09385403ba0f892606a4d8b8c.mp3"
"abducens nerve palsy","/æbˈdjuːsənz nɜːrv ˈpɔːlzi/","uzoqlashtiruvchi nerv falaji","паралич отводящего нерва","Oltinchi kalla nervining shikastlanishi natijasida ko'zni tashqariga qarata olmaslik.","Поражение VI пары черепных нервов, приводящее к невозможности отведения глаза кнаружи.","Latin abducens (drawing away) + Greek paralysis.","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/9c/9c252a21a104af246696c09e7d328421612a1e58.mp3"
"abducens palsy","/æbˈdjuːsənz ˈpɔːlzi/","uzatuvchi nerv falaji","паралич отводящего нерва","Oltinchi kalla nervining shikastlanishi natijasida ko'zni tashqariga qarata olmaslik.","Поражение VI пары черепных нервов, приводящее к невозможности отведения глазного яблока кнаружи.","Latin abducens (drawing away) + Greek paralysis.","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/4b/4be3c394951b5c68546439b8a24950d687cd6dba.mp3"
